rank,NrmzMeanConfPairMean,Refi,NrmzMeanConfEventMean,NrmzMeanConfDetailMean
1,0.6089269711282776,bpR,0.0,0.0
2,0.6121189661568164,bpR,0.0,0.0
3,0.6159971174010485,bpR,0.0,0.0
4,0.6155670224460591,bpR,0.0,0.0
5,0.6147321064600277,bpR,0.0,0.0
6,0.614080031521692,bpR,0.0,0.0
7,0.6194237491527442,bpR,0.0,0.0
8,0.6104681359195028,bpR,0.0,0.0
9,0.6141921606472535,bpR,0.0,0.0
10,0.6154780065455505,bpR,0.0,0.0
11,0.6109393907340996,bpR,0.0,0.0
12,0.605158957504241,bpR,0.0,0.0
13,0.6102158919604029,bpR,0.0,0.0
14,0.6034316600583217,bpR,0.0,0.0
15,0.6002655442770838,bpR,0.0,0.0
16,0.5965477809283378,bpR,0.0,0.0
17,0.5976844001338181,bpR,0.0,0.0
18,0.5927834599817653,bpR,0.0,0.0
19,0.5867096521261702,bpR,0.0,0.0
20,0.5990028678820597,bpR,0.0,0.0
21,0.5968281979697782,bpR,0.0,0.0
22,0.5861410250561431,bpR,0.0,0.0
23,0.591419655282303,bpR,0.0,0.0
24,0.5914111348936741,bpR,0.0,0.0
25,0.6105287633066198,bpR,0.0,0.0
26,0.6126407374795536,bpR,0.0,0.0
27,0.6152881895251828,bpR,0.0,0.0
28,0.6029554252068537,bpR,0.0,0.0
29,0.60185199800841,bpR,0.0,0.0
30,0.5967821341094343,bpR,0.0,0.0
31,0.6227983723461907,bpR,0.0,0.0
32,0.6160054477392058,bpR,0.0,0.0
33,0.6370898463523171,bpR,0.0,0.0
34,0.7255522040293406,bpR,0.0,0.0
35,0.925943121806863,bpR,0.0,0.0
36,0.925943121806863,bpR,0.0,0.0
37,0.925943121806863,bpR,0.0,0.0
38,0.925943121806863,bpR,0.0,0.0
1,0.6089269711282776,bpF,0.0,0.0
2,0.6121189661568164,bpF,0.0,0.0
3,0.6159971174010485,bpF,0.0,0.0
4,0.6155670224460591,bpF,0.0,0.0
5,0.6147321064600277,bpF,0.0,0.0
6,0.614080031521692,bpF,0.0,0.0
7,0.6194237491527442,bpF,0.0,0.0
8,0.6104681359195028,bpF,0.0,0.0
9,0.6141921606472535,bpF,0.0,0.0
10,0.6154780065455505,bpF,0.0,0.0
11,0.6109393907340996,bpF,0.0,0.0
12,0.605158957504241,bpF,0.0,0.0
13,0.6102158919604029,bpF,0.0,0.0
14,0.6034316600583217,bpF,0.0,0.0
15,0.6002655442770838,bpF,0.0,0.0
16,0.5965477809283378,bpF,0.0,0.0
17,0.5976844001338181,bpF,0.0,0.0
18,0.5927834599817653,bpF,0.0,0.0
19,0.5867096521261702,bpF,0.0,0.0
20,0.5990028678820597,bpF,0.0,0.0
21,0.5968281979697782,bpF,0.0,0.0
22,0.5861410250561431,bpF,0.0,0.0
23,0.591419655282303,bpF,0.0,0.0
24,0.5914111348936741,bpF,0.0,0.0
25,0.6105287633066198,bpF,0.0,0.0
26,0.6126407374795536,bpF,0.0,0.0
27,0.6152881895251828,bpF,0.0,0.0
28,0.6029554252068537,bpF,0.0,0.0
29,0.60185199800841,bpF,0.0,0.0
30,0.5967821341094343,bpF,0.0,0.0
31,0.6227983723461907,bpF,0.0,0.0
32,0.6160054477392058,bpF,0.0,0.0
33,0.6370898463523171,bpF,0.0,0.0
34,0.7255522040293406,bpF,0.0,0.0
35,0.925943121806863,bpF,0.0,0.0
36,0.925943121806863,bpF,0.0,0.0
37,0.925943121806863,bpF,0.0,0.0
38,0.925943121806863,bpF,0.0,0.0
1,0.6089269711282776,beR,0.0,0.0
2,0.6121189661568164,beR,0.0,0.0
3,0.6159971174010485,beR,0.0,0.0
4,0.6155670224460591,beR,0.0,0.0
5,0.6147321064600277,beR,0.0,0.0
6,0.614080031521692,beR,0.0,0.0
7,0.6194237491527442,beR,0.0,0.0
8,0.6104681359195028,beR,0.0,0.0
9,0.6141921606472535,beR,0.0,0.0
10,0.6154780065455505,beR,0.0,0.0
11,0.6109393907340996,beR,0.0,0.0
12,0.605158957504241,beR,0.0,0.0
13,0.6102158919604029,beR,0.0,0.0
14,0.6034316600583217,beR,0.0,0.0
15,0.6002655442770838,beR,0.0,0.0
16,0.5965477809283378,beR,0.0,0.0
17,0.5976844001338181,beR,0.0,0.0
18,0.5927834599817653,beR,0.0,0.0
19,0.5867096521261702,beR,0.0,0.0
20,0.5990028678820597,beR,0.0,0.0
21,0.5968281979697782,beR,0.0,0.0
22,0.5861410250561431,beR,0.0,0.0
23,0.591419655282303,beR,0.0,0.0
24,0.5914111348936741,beR,0.0,0.0
25,0.6105287633066198,beR,0.0,0.0
26,0.6126407374795536,beR,0.0,0.0
27,0.6152881895251828,beR,0.0,0.0
28,0.6029554252068537,beR,0.0,0.0
29,0.60185199800841,beR,0.0,0.0
30,0.5967821341094343,beR,0.0,0.0
31,0.6227983723461907,beR,0.0,0.0
32,0.6160054477392058,beR,0.0,0.0
33,0.6370898463523171,beR,0.0,0.0
34,0.7255522040293406,beR,0.0,0.0
35,0.925943121806863,beR,0.0,0.0
36,0.925943121806863,beR,0.0,0.0
37,0.925943121806863,beR,0.0,0.0
38,0.925943121806863,beR,0.0,0.0
1,0.6089269711282776,weR,0.0,0.0
2,0.6121189661568164,weR,0.0,0.0
3,0.6159971174010485,weR,0.0,0.0
4,0.6155670224460591,weR,0.0,0.0
5,0.6147321064600277,weR,0.0,0.0
6,0.614080031521692,weR,0.0,0.0
7,0.6194237491527442,weR,0.0,0.0
8,0.6104681359195028,weR,0.0,0.0
9,0.6141921606472535,weR,0.0,0.0
10,0.6154780065455505,weR,0.0,0.0
11,0.6109393907340996,weR,0.0,0.0
12,0.605158957504241,weR,0.0,0.0
13,0.6102158919604029,weR,0.0,0.0
14,0.6034316600583217,weR,0.0,0.0
15,0.6002655442770838,weR,0.0,0.0
16,0.5965477809283378,weR,0.0,0.0
17,0.5976844001338181,weR,0.0,0.0
18,0.5927834599817653,weR,0.0,0.0
19,0.5867096521261702,weR,0.0,0.0
20,0.5990028678820597,weR,0.0,0.0
21,0.5968281979697782,weR,0.0,0.0
22,0.5861410250561431,weR,0.0,0.0
23,0.591419655282303,weR,0.0,0.0
24,0.5914111348936741,weR,0.0,0.0
25,0.6105287633066198,weR,0.0,0.0
26,0.6126407374795536,weR,0.0,0.0
27,0.6152881895251828,weR,0.0,0.0
28,0.6029554252068537,weR,0.0,0.0
29,0.60185199800841,weR,0.0,0.0
30,0.5967821341094343,weR,0.0,0.0
31,0.6227983723461907,weR,0.0,0.0
32,0.6160054477392058,weR,0.0,0.0
33,0.6370898463523171,weR,0.0,0.0
34,0.7255522040293406,weR,0.0,0.0
35,0.925943121806863,weR,0.0,0.0
36,0.925943121806863,weR,0.0,0.0
37,0.925943121806863,weR,0.0,0.0
38,0.925943121806863,weR,0.0,0.0
1,0.0,bpR,0.40411167482908683,0.0
2,0.0,bpR,0.39998005011106186,0.0
3,0.0,bpR,0.4036797809033081,0.0
4,0.0,bpR,0.3980533974698301,0.0
5,0.0,bpR,0.39076989930269174,0.0
6,0.0,bpR,0.3922148111397502,0.0
7,0.0,bpR,0.3965093789722681,0.0
8,0.0,bpR,0.4016004324581752,0.0
9,0.0,bpR,0.39381700191826413,0.0
10,0.0,bpR,0.4054798010342443,0.0
11,0.0,bpR,0.4045855052654337,0.0
12,0.0,bpR,0.4024577518463512,0.0
13,0.0,bpR,0.40537814781961934,0.0
14,0.0,bpR,0.4030701129517832,0.0
15,0.0,bpR,0.40360157735165997,0.0
16,0.0,bpR,0.3954732640014131,0.0
17,0.0,bpR,0.39972833584381773,0.0
18,0.0,bpR,0.39956265111504974,0.0
19,0.0,bpR,0.3927765357414322,0.0
20,0.0,bpR,0.3899733948853035,0.0
21,0.0,bpR,0.3983518296247012,0.0
22,0.0,bpR,0.3853550272699043,0.0
23,0.0,bpR,0.38450575629874584,0.0
24,0.0,bpR,0.38407442012572285,0.0
25,0.0,bpR,0.40793768958984883,0.0
26,0.0,bpR,0.40315262226072074,0.0
27,0.0,bpR,0.40148459915888235,0.0
28,0.0,bpR,0.38600790459013734,0.0
29,0.0,bpR,0.4017356281827262,0.0
30,0.0,bpR,0.39098058750618103,0.0
31,0.0,bpR,0.38914552230616756,0.0
32,0.0,bpR,0.3743002509763219,0.0
33,0.0,bpR,0.34926798869567527,0.0
34,0.0,bpR,0.3031347781801972,0.0
35,0.0,bpR,0.109875966356998,0.0
36,0.0,bpR,0.109875966356998,0.0
37,0.0,bpR,0.109875966356998,0.0
38,0.0,bpR,0.109875966356998,0.0
1,0.0,bpF,0.40411167482908683,0.0
2,0.0,bpF,0.39998005011106186,0.0
3,0.0,bpF,0.4036797809033081,0.0
4,0.0,bpF,0.3980533974698301,0.0
5,0.0,bpF,0.39076989930269174,0.0
6,0.0,bpF,0.3922148111397502,0.0
7,0.0,bpF,0.3965093789722681,0.0
8,0.0,bpF,0.4016004324581752,0.0
9,0.0,bpF,0.39381700191826413,0.0
10,0.0,bpF,0.4054798010342443,0.0
11,0.0,bpF,0.4045855052654337,0.0
12,0.0,bpF,0.4024577518463512,0.0
13,0.0,bpF,0.40537814781961934,0.0
14,0.0,bpF,0.4030701129517832,0.0
15,0.0,bpF,0.40360157735165997,0.0
16,0.0,bpF,0.3954732640014131,0.0
17,0.0,bpF,0.39972833584381773,0.0
18,0.0,bpF,0.39956265111504974,0.0
19,0.0,bpF,0.3927765357414322,0.0
20,0.0,bpF,0.3899733948853035,0.0
21,0.0,bpF,0.3983518296247012,0.0
22,0.0,bpF,0.3853550272699043,0.0
23,0.0,bpF,0.38450575629874584,0.0
24,0.0,bpF,0.38407442012572285,0.0
25,0.0,bpF,0.40793768958984883,0.0
26,0.0,bpF,0.40315262226072074,0.0
27,0.0,bpF,0.40148459915888235,0.0
28,0.0,bpF,0.38600790459013734,0.0
29,0.0,bpF,0.4017356281827262,0.0
30,0.0,bpF,0.39098058750618103,0.0
31,0.0,bpF,0.38914552230616756,0.0
32,0.0,bpF,0.3743002509763219,0.0
33,0.0,bpF,0.34926798869567527,0.0
34,0.0,bpF,0.3031347781801972,0.0
35,0.0,bpF,0.109875966356998,0.0
36,0.0,bpF,0.109875966356998,0.0
37,0.0,bpF,0.109875966356998,0.0
38,0.0,bpF,0.109875966356998,0.0
1,0.0,beR,0.40411167482908683,0.0
2,0.0,beR,0.39998005011106186,0.0
3,0.0,beR,0.4036797809033081,0.0
4,0.0,beR,0.3980533974698301,0.0
5,0.0,beR,0.39076989930269174,0.0
6,0.0,beR,0.3922148111397502,0.0
7,0.0,beR,0.3965093789722681,0.0
8,0.0,beR,0.4016004324581752,0.0
9,0.0,beR,0.39381700191826413,0.0
10,0.0,beR,0.4054798010342443,0.0
11,0.0,beR,0.4045855052654337,0.0
12,0.0,beR,0.4024577518463512,0.0
13,0.0,beR,0.40537814781961934,0.0
14,0.0,beR,0.4030701129517832,0.0
15,0.0,beR,0.40360157735165997,0.0
16,0.0,beR,0.3954732640014131,0.0
17,0.0,beR,0.39972833584381773,0.0
18,0.0,beR,0.39956265111504974,0.0
19,0.0,beR,0.3927765357414322,0.0
20,0.0,beR,0.3899733948853035,0.0
21,0.0,beR,0.3983518296247012,0.0
22,0.0,beR,0.3853550272699043,0.0
23,0.0,beR,0.38450575629874584,0.0
24,0.0,beR,0.38407442012572285,0.0
25,0.0,beR,0.40793768958984883,0.0
26,0.0,beR,0.40315262226072074,0.0
27,0.0,beR,0.40148459915888235,0.0
28,0.0,beR,0.38600790459013734,0.0
29,0.0,beR,0.4017356281827262,0.0
30,0.0,beR,0.39098058750618103,0.0
31,0.0,beR,0.38914552230616756,0.0
32,0.0,beR,0.3743002509763219,0.0
33,0.0,beR,0.34926798869567527,0.0
34,0.0,beR,0.3031347781801972,0.0
35,0.0,beR,0.109875966356998,0.0
36,0.0,beR,0.109875966356998,0.0
37,0.0,beR,0.109875966356998,0.0
38,0.0,beR,0.109875966356998,0.0
1,0.0,weR,0.40411167482908683,0.0
2,0.0,weR,0.39998005011106186,0.0
3,0.0,weR,0.4036797809033081,0.0
4,0.0,weR,0.3980533974698301,0.0
5,0.0,weR,0.39076989930269174,0.0
6,0.0,weR,0.3922148111397502,0.0
7,0.0,weR,0.3965093789722681,0.0
8,0.0,weR,0.4016004324581752,0.0
9,0.0,weR,0.39381700191826413,0.0
10,0.0,weR,0.4054798010342443,0.0
11,0.0,weR,0.4045855052654337,0.0
12,0.0,weR,0.4024577518463512,0.0
13,0.0,weR,0.40537814781961934,0.0
14,0.0,weR,0.4030701129517832,0.0
15,0.0,weR,0.40360157735165997,0.0
16,0.0,weR,0.3954732640014131,0.0
17,0.0,weR,0.39972833584381773,0.0
18,0.0,weR,0.39956265111504974,0.0
19,0.0,weR,0.3927765357414322,0.0
20,0.0,weR,0.3899733948853035,0.0
21,0.0,weR,0.3983518296247012,0.0
22,0.0,weR,0.3853550272699043,0.0
23,0.0,weR,0.38450575629874584,0.0
24,0.0,weR,0.38407442012572285,0.0
25,0.0,weR,0.40793768958984883,0.0
26,0.0,weR,0.40315262226072074,0.0
27,0.0,weR,0.40148459915888235,0.0
28,0.0,weR,0.38600790459013734,0.0
29,0.0,weR,0.4017356281827262,0.0
30,0.0,weR,0.39098058750618103,0.0
31,0.0,weR,0.38914552230616756,0.0
32,0.0,weR,0.3743002509763219,0.0
33,0.0,weR,0.34926798869567527,0.0
34,0.0,weR,0.3031347781801972,0.0
35,0.0,weR,0.109875966356998,0.0
36,0.0,weR,0.109875966356998,0.0
37,0.0,weR,0.109875966356998,0.0
38,0.0,weR,0.109875966356998,0.0
1,0.0,bpR,0.0,0.5366334000010109
2,0.0,bpR,0.0,0.5358251874667478
3,0.0,bpR,0.0,0.5389523206325644
4,0.0,bpR,0.0,0.537269187435336
5,0.0,bpR,0.0,0.5383265597418332
6,0.0,bpR,0.0,0.5387286223902056
7,0.0,bpR,0.0,0.5405861511922055
8,0.0,bpR,0.0,0.5371132751743691
9,0.0,bpR,0.0,0.5370627053683429
10,0.0,bpR,0.0,0.5361061600060322
11,0.0,bpR,0.0,0.5362270163727936
12,0.0,bpR,0.0,0.5271130389537159
13,0.0,bpR,0.0,0.5342735835306565
14,0.0,bpR,0.0,0.5283475654892215
15,0.0,bpR,0.0,0.5353797735038517
16,0.0,bpR,0.0,0.5257551322044771
17,0.0,bpR,0.0,0.5243591214962704
18,0.0,bpR,0.0,0.5221497272345494
19,0.0,bpR,0.0,0.5212401396854872
20,0.0,bpR,0.0,0.5216241721983669
21,0.0,bpR,0.0,0.521734954118413
22,0.0,bpR,0.0,0.5152918992850465
23,0.0,bpR,0.0,0.5124036131184748
24,0.0,bpR,0.0,0.5035602508135759
25,0.0,bpR,0.0,0.5257107143588396
26,0.0,bpR,0.0,0.5333843191364255
27,0.0,bpR,0.0,0.5283717099341596
28,0.0,bpR,0.0,0.5032060987092746
29,0.0,bpR,0.0,0.5134510525203773
30,0.0,bpR,0.0,0.5073888164029805
31,0.0,bpR,0.0,0.5361382052885112
32,0.0,bpR,0.0,0.546829863577267
33,0.0,bpR,0.0,0.5449449388109214
34,0.0,bpR,0.0,0.511083957425846
35,0.0,bpR,0.0,0.20848866919384
36,0.0,bpR,0.0,0.20848866919384
37,0.0,bpR,0.0,0.20848866919384
38,0.0,bpR,0.0,0.20848866919384
1,0.0,bpF,0.0,0.5366334000010109
2,0.0,bpF,0.0,0.5358251874667478
3,0.0,bpF,0.0,0.5389523206325644
4,0.0,bpF,0.0,0.537269187435336
5,0.0,bpF,0.0,0.5383265597418332
6,0.0,bpF,0.0,0.5387286223902056
7,0.0,bpF,0.0,0.5405861511922055
8,0.0,bpF,0.0,0.5371132751743691
9,0.0,bpF,0.0,0.5370627053683429
10,0.0,bpF,0.0,0.5361061600060322
11,0.0,bpF,0.0,0.5362270163727936
12,0.0,bpF,0.0,0.5271130389537159
13,0.0,bpF,0.0,0.5342735835306565
14,0.0,bpF,0.0,0.5283475654892215
15,0.0,bpF,0.0,0.5353797735038517
16,0.0,bpF,0.0,0.5257551322044771
17,0.0,bpF,0.0,0.5243591214962704
18,0.0,bpF,0.0,0.5221497272345494
19,0.0,bpF,0.0,0.5212401396854872
20,0.0,bpF,0.0,0.5216241721983669
21,0.0,bpF,0.0,0.521734954118413
22,0.0,bpF,0.0,0.5152918992850465
23,0.0,bpF,0.0,0.5124036131184748
24,0.0,bpF,0.0,0.5035602508135759
25,0.0,bpF,0.0,0.5257107143588396
26,0.0,bpF,0.0,0.5333843191364255
27,0.0,bpF,0.0,0.5283717099341596
28,0.0,bpF,0.0,0.5032060987092746
29,0.0,bpF,0.0,0.5134510525203773
30,0.0,bpF,0.0,0.5073888164029805
31,0.0,bpF,0.0,0.5361382052885112
32,0.0,bpF,0.0,0.546829863577267
33,0.0,bpF,0.0,0.5449449388109214
34,0.0,bpF,0.0,0.511083957425846
35,0.0,bpF,0.0,0.20848866919384
36,0.0,bpF,0.0,0.20848866919384
37,0.0,bpF,0.0,0.20848866919384
38,0.0,bpF,0.0,0.20848866919384
1,0.0,beR,0.0,0.5366334000010109
2,0.0,beR,0.0,0.5358251874667478
3,0.0,beR,0.0,0.5389523206325644
4,0.0,beR,0.0,0.537269187435336
5,0.0,beR,0.0,0.5383265597418332
6,0.0,beR,0.0,0.5387286223902056
7,0.0,beR,0.0,0.5405861511922055
8,0.0,beR,0.0,0.5371132751743691
9,0.0,beR,0.0,0.5370627053683429
10,0.0,beR,0.0,0.5361061600060322
11,0.0,beR,0.0,0.5362270163727936
12,0.0,beR,0.0,0.5271130389537159
13,0.0,beR,0.0,0.5342735835306565
14,0.0,beR,0.0,0.5283475654892215
15,0.0,beR,0.0,0.5353797735038517
16,0.0,beR,0.0,0.5257551322044771
17,0.0,beR,0.0,0.5243591214962704
18,0.0,beR,0.0,0.5221497272345494
19,0.0,beR,0.0,0.5212401396854872
20,0.0,beR,0.0,0.5216241721983669
21,0.0,beR,0.0,0.521734954118413
22,0.0,beR,0.0,0.5152918992850465
23,0.0,beR,0.0,0.5124036131184748
24,0.0,beR,0.0,0.5035602508135759
25,0.0,beR,0.0,0.5257107143588396
26,0.0,beR,0.0,0.5333843191364255
27,0.0,beR,0.0,0.5283717099341596
28,0.0,beR,0.0,0.5032060987092746
29,0.0,beR,0.0,0.5134510525203773
30,0.0,beR,0.0,0.5073888164029805
31,0.0,beR,0.0,0.5361382052885112
32,0.0,beR,0.0,0.546829863577267
33,0.0,beR,0.0,0.5449449388109214
34,0.0,beR,0.0,0.511083957425846
35,0.0,beR,0.0,0.20848866919384
36,0.0,beR,0.0,0.20848866919384
37,0.0,beR,0.0,0.20848866919384
38,0.0,beR,0.0,0.20848866919384
1,0.0,weR,0.0,0.5366334000010109
2,0.0,weR,0.0,0.5358251874667478
3,0.0,weR,0.0,0.5389523206325644
4,0.0,weR,0.0,0.537269187435336
5,0.0,weR,0.0,0.5383265597418332
6,0.0,weR,0.0,0.5387286223902056
7,0.0,weR,0.0,0.5405861511922055
8,0.0,weR,0.0,0.5371132751743691
9,0.0,weR,0.0,0.5370627053683429
10,0.0,weR,0.0,0.5361061600060322
11,0.0,weR,0.0,0.5362270163727936
12,0.0,weR,0.0,0.5271130389537159
13,0.0,weR,0.0,0.5342735835306565
14,0.0,weR,0.0,0.5283475654892215
15,0.0,weR,0.0,0.5353797735038517
16,0.0,weR,0.0,0.5257551322044771
17,0.0,weR,0.0,0.5243591214962704
18,0.0,weR,0.0,0.5221497272345494
19,0.0,weR,0.0,0.5212401396854872
20,0.0,weR,0.0,0.5216241721983669
21,0.0,weR,0.0,0.521734954118413
22,0.0,weR,0.0,0.5152918992850465
23,0.0,weR,0.0,0.5124036131184748
24,0.0,weR,0.0,0.5035602508135759
25,0.0,weR,0.0,0.5257107143588396
26,0.0,weR,0.0,0.5333843191364255
27,0.0,weR,0.0,0.5283717099341596
28,0.0,weR,0.0,0.5032060987092746
29,0.0,weR,0.0,0.5134510525203773
30,0.0,weR,0.0,0.5073888164029805
31,0.0,weR,0.0,0.5361382052885112
32,0.0,weR,0.0,0.546829863577267
33,0.0,weR,0.0,0.5449449388109214
34,0.0,weR,0.0,0.511083957425846
35,0.0,weR,0.0,0.20848866919384
36,0.0,weR,0.0,0.20848866919384
37,0.0,weR,0.0,0.20848866919384
38,0.0,weR,0.0,0.20848866919384
